序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
12428,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12429,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12430,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12431,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12432,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12433,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12434,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12435,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12436,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12437,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12438,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12439,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12440,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12441,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12442,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12443,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12444,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12445,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12446,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12447,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12448,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12449,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12450,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12451,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12452,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12453,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12454,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12455,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12456,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12457,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12458,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12459,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12460,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12461,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12462,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12463,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12464,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12465,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12466,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12467,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12468,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12469,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12470,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12471,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12472,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12473,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12474,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12475,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12476,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12477,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12478,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12479,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12480,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12481,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12482,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12483,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12484,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12485,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12486,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12487,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12488,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12489,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12490,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12491,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12492,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12493,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12494,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12495,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12496,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12497,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12498,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12499,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12500,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12501,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12502,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12503,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12504,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12505,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12506,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12507,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12508,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12509,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12510,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12511,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12512,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12513,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12514,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12515,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12516,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12517,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12518,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12519,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12520,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12521,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12522,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12523,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12524,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12525,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12526,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12527,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12528,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12529,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12530,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12531,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12532,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12533,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12534,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12535,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12536,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12537,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12538,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12539,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12540,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12541,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12542,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12543,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12544,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12545,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12546,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12547,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12548,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12549,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12550,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12551,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12552,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12553,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12554,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12555,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12556,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12557,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12558,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12559,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12560,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12561,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12562,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12563,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12564,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12565,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12566,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12567,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12568,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12569,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12570,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12571,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
12572,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
12573,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
12574,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
12575,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
12576,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
12577,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
12578,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
12579,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
12580,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
12581,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
12582,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
12583,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
12584,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
12585,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
12586,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
12587,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
12588,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
12589,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
12590,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
12591,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
